15692,Om den indenrigs- og udenrigspolitiske situation.,2025-04-01 16:21:01.447,2
16228,Forslag til direktiv om den tekniske udvikling af kosmetiske midler,2024-11-19 10:54:02.430,7
16272,Om finanslov for finansåret 2011.,2024-04-29 13:46:38.493,3
16392,Om demokrati i Rusland,2025-04-02 10:06:35.353,2
16415,Om den globale fødevarekrise (hasteforespørgsel),2025-04-02 10:03:38.467,2
16416,Om den indenrigs- og udenrigspolitiske situation.,2025-04-02 10:02:29.797,2
16418,Om klyngebomber (hasteforespørgsel),2025-04-02 10:01:28.940,2
16421,Om nødhjælp til Burma (hasteforespørgsel).,2025-04-02 10:00:23.707,2
16496,Om Gaza,2025-04-02 09:56:25.137,2
16911,Om sikkerhedspolitik og klimaændringer.,2025-04-02 10:10:04.947,2
17082,Om gældsinddrivelse.,2024-10-28 15:06:40.037,5
17245,Forslag til Rådets afgørelse om EU's holdning til særligt beskyttede områder i Middelhavet (SPA/BD-protokollen og Barcelona-konventionen),2025-03-07 14:44:02.100,7
17416,Om bandekriminalitet.,2024-03-14 08:54:31.500,9
17482,Om et psykosocialt hjælpeprogram for traumatiserede børn i Gaza.,2025-03-28 13:46:21.797,5
17894,Om Tibet.,2025-04-02 09:53:36.983,2
18084,Om kulturpolitik.,2024-03-14 09:05:39.273,9
18212,Om kemikaliers indvirkning på sundheden.,2024-03-14 09:07:22.780,9
18213,Om at sikre sammenhængen mellem miljø- og sundhedspolitikken.,2024-03-14 09:07:22.623,9
18214,Om sygehuse.,2024-03-14 09:08:34.603,9
18216,Om sygehuse og sundhedsvæsenet.,2024-03-14 09:08:34.150,9
18219,Om den private sygehussektor.,2024-03-14 09:09:28.847,9
18323,Om udnævnelse af biskopper og om stiftsbåndsløsning.,2024-04-29 13:45:53.413,3
18326,Om  forlængelse af sygedagpengeperioden.,2024-04-29 13:45:53.900,3
18412,Direktivforslag om rettigheder til tolke- og til oversætterbistand i straffesager,2023-05-22 14:40:40.857,7
18422,Om Iran.,2025-04-02 09:52:49.693,2
18500,Om moskeer.,2024-03-14 09:14:00.417,9
19023,Forslag til forordning om medlemsstaternes kontrol af Kommissionens udøvelse af gennemførelsesbeføjelser (komitology-forordningen),2023-11-22 13:40:51.407,7
